seg_id,order,segment,room_id_hex,room_name,door_id_hex,status,layer,predecessor,item_or_boss,anchor_state,probe_command,notes,updated
K2.18,38,Eye Door -> Kraid entry,0xA59F,Kraid's Room,0x91B6,continuous,continuous,K2.17,,dev_kpdr_kraid_entry,continuous --to kraid,97170f continuous tip; natural eye-door,2026-07-30
K3.0,40,Kraid fight,0xA59F,Kraid's Room,,continuous,continuous,K2.18,kraid_boss,,continuous --to varia,Super-spray on continuous chain; fight segment of K3,2026-07-30
K3.1,41,Varia Suit,0xA6E2,Varia Suit Room,0x91DA,continuous,continuous,K3.0,varia,,continuous --to varia,101954f continuous K3 tip; 0 loads / 0 progression writes,2026-07-30
K3.2,42,Varia -> Kraid return,0xA59F,Kraid's Room,,continuous,continuous,K3.1,,,continuous --to business,integrity-green Business return twice at 113723f; 0 loads/progression/capacity/deaths,2026-08-01
K3.3,43,Kraid -> Eye return,0xA59F,Kraid's Room,,continuous,continuous,K3.2,,,continuous --to business,integrity-green Business return twice; elevated jump-enter band,2026-08-01
K3.4,44,Eye -> Baby return,0xA56B,Kraid's Eye Door,,continuous,continuous,K3.3,,,continuous --to business,integrity-green Business return twice,2026-08-01
K3.5,45,Baby -> Kihunter return,0xA521,Baby Kraid Room,,continuous,continuous,K3.4,,,continuous --to business,integrity-green Business return twice; gray-door clear,2026-08-01
K3.6,46,Kihunter -> Zeela return,0xA4DA,Warehouse Kihunter Room,,continuous,continuous,K3.5,,,continuous --to business,integrity-green Business return twice; Hi-Jump y-gated landing,2026-08-01
K3.7,47,Zeela -> Warehouse return,0xA471,Warehouse Zeela Room,,continuous,continuous,K3.6,,,continuous --to business,integrity-green Business return twice; valid upper-left transition,2026-08-01
K3.8,48,Warehouse -> Business,0xA6A1,Warehouse Entrance,,continuous,continuous,K3.7,,,continuous --to business,"right-ledge reverse stack green; lower-lip correction + two-tier Super clear; 113723f twice",2026-08-01
K4.0,50,Frog Savestation,0xB167,Frog Savestation,0x92FA,continuous,continuous,K3.8,,,continuous --to frog,"Business elevator descent + blue-door exit; 114923f integrity green twice",2026-08-01
K4.1,51,Speed Booster,0xAD1B,Speed Booster Room,,open,future,K4.0,speed,,,START_TO_SPEED_GRAPH scaffold Bubble path; first open Frog Save→Speedway,2026-08-01
K4.2,52,Wave Beam,0xADDE,Wave Beam Room,,open,future,K4.1,wave,,,graph branch Bubble→Single→Double→Wave unverified,2026-08-01
K4.3,53,Ice Beam,0xA890,Ice Beam Room,,open,future,K4.2,ice,,,graph branch Business→Ice Gate→…→Ice unverified,2026-08-01
K5.0,60,Alpha Power Bombs,0xA3AE,Alpha Power Bomb Room,,open,future,K4.3,power_bombs,,,after Ice on KPDR; first PB capacity,2026-08-01
K6.0,70,Phantoon,0xCD13,Phantoon's Room,,dev_warp,future,K5.0,phantoon,dev_phantoon_entry,phantoon.py,after Alpha PB on KPDR,2026-07-28
