--- TILEMAP (0x0022) Dump ---
Y=00: 00 00 00 0f 03 05 20 22 80 80 80 80 00 7f 80 80 c0 6a c0 6e 88 6c a8 6c 00 00 00 00 00 50 e8 52 00 00 00 00 00 00 00 00 00 00 00 00 c3 de 80 e0 de 80 fd de 80 1a df 80 00 00 00 00 00 00 00 00
Y=21: ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff
Y=22: ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=23: 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00
Y=24: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff
Y=25: ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff
Y=26: ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=27: 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00
Y=28: 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 0d 00 00 00 00 00 16 05 05 45 16 05 16 85 05 05 06 05 15 85 15 05 15 85 15 05 15 85 15 05 05 05 06 05
Y=29: 15 85 15 05 15 85 15 05 15 85 15 05 15 85 15 05 15 85 15 05 15 85 15 05 15 85 15 05 16 05 05 45 16 05 05 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 15 85 15 05 05 05 06 05 ed 12 ad 12 ae 12 af 12 16 05 05 45 15 85 15 05 16 05 05 45
Y=31: 15 85 15 05 15 85 35 16 35 16 35 16 35 16 26 16 35 16 35 16 35 16 26 16 15 85 15 05 05 05 06 05 15 85 15 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=32: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 40 00 14 00 08 00 01 02 03 00 27 26 25 24 23 22 21 20 1f 1e 1d 1c 1b 1a 19 18 17 16
Y=33: 15 14 13 12 11 10 0f 0e 0d 0c 0b 0a 09 08 07 06 05 04 00 00 00 00 0d 00 0e 00 00 00 00 00 00 20 11 04 06 1d 28 20 b1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1d 28 20 b1 b1 b1 b1 b1 1e
Y=34: 00 15 00 04 00 b1 00 b1 00 00 00 00 00 00 00 00 00 2c 00 0f 00 11 00 08 00 0d 00 06 00 2d 00 14 00 04 00 12 00 03 00 00 00 18 00 b1 00 b1 00 0d 00 03 00 20 00 11 00 04 00 06 00 1d 00 28 00 20
Y=35: 00 b1 00 b1 00 b1 00 b1 00 b1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3c 00 3c 00 00 00 8d 02 b9 00 80 00 80 00 00 00 00 00 00 00 0a 00 64 64 02 0a 2e 00 00 0f 14 00 04
Y=36: 00 03 00 78 00 01 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=37: 00 00 00 00 00 00 00 00 00 00 03 00 2a 00 00 00 00 01 00 00 00 00 02 00 b8 00 b8 00 00 00 4f 03 31 01 0f 84 02 e3 00 00 00 00 00 01 00 00 00 46 00 03 03 00 00 19 02 00 00 c0 00 c4 00 03 00 00
Y=38: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1
Y=39: a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1
Y=40: a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a8 a8 a8 a8 a8 a8 a8 a0 a0 a8 a8 a8 a8 a8 a8 a0 a0 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a0 a0 a8 a8 a0 a0 a8 a8
Y=41: a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a0 a0 a8 a8 a1 a1 a8 01 01 01 01 01 01 02 02 01 01 02 02 02 01 01 02 02 02 02 02 01 01 01 01 01 01 01 02 02 02 01 01 01 01 01 01 01 01 01 01 01 01
Y=42: 02 02 01 01 01 01 02 01 01 01 01 01 01 02 01 01 01 01 a8 a1 a1 a8 02 02 02 02 02 01 02 02 02 02 01 02 02 02 02 01 02 02 02 01 01 a6 a6 a6 a6 a6 a6 a6 02 02 01 01 02 02 01 02 01 01 01 02 01 02
Y=43: 01 01 02 02 01 02 02 01 01 02 02 02 02 02 02 01 01 01 a8 a1 a1 a8 02 02 01 02 01 02 02 02 02 02 02 01 02 01 01 01 01 01 02 01 01 a6 f7 f7 f7 f7 f7 a6 02 02 01 01 02 02 01 02 01 01 02 01 02 01
Y=44: 01 01 02 02 01 02 01 02 02 02 01 02 02 01 01 02 01 01 a8 a1 a1 a8 01 02 02 02 02 01 02 02 01 01 01 01 02 02 01 01 02 01 01 02 01 a6 f7 f7 f7 f7 f7 a6 01 01 01 02 01 01 02 01 02 02 01 02 02 01
Y=45: 02 01 01 01 02 01 02 02 01 02 02 02 01 01 01 02 02 01 a8 a1 a1 a8 01 02 02 01 01 01 02 02 01 01 02 01 01 01 02 02 01 02 01 01 01 a6 a6 a6 a6 a6 a6 a6 01 01 01 01 01 02 02 01 02 02 01 01 02 02
Y=46: 01 01 02 02 01 02 02 02 01 01 01 02 02 01 02 02 02 01 a8 a1 a1 a8 02 01 01 02 02 01 01 01 01 02 02 01 02 02 01 01 02 02 01 01 02 a8 d3 a0 02 01 01 01 02 02 01 01 02 02 01 01 01 01 01 01 02 02
Y=47: 01 02 02 01 02 01 02 02 02 01 02 02 02 02 02 01 02 01 a8 a1 a1 a8 01 02 01 02 02 02 02 01 01 02 02 02 02 01 01 01 02 02 01 02 01 01 01 02 01 01 01 01 01 02 02 01 02 02 01 01 02 02 01 01 02 02
Y=48: 01 02 02 01 02 01 02 01 02 01 02 02 02 02 01 01 02 02 a8 a1 a1 a8 01 01 02 02 02 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 02 02 01 01 02 01 01 01 01 01 02 02 01 01 01 02
Y=49: 02 02 01 01 01 01 01 01 01 02 02 01 01 01 01 02 01 01 a8 a1 a1 a8 01 01 02 01 01 01 01 01 02 02 01 01 01 02 01 01 01 01 01 02 02 01 01 01 01 01 02 02 01 01 01 01 02 02 01 02 02 01 01 01 02 02
Y=50: 02 01 01 01 01 01 01 01 02 02 02 01 01 01 01 02 02 02 a8 a1 a1 a8 01 01 01 01 01 01 01 02 01 02 01 01 01 01 02 01 01 01 01 02 02 01 02 a1 f9 a1 01 01 01 01 01 01 01 01 01 01 02 02 0d 0e 01 01
Y=51: 02 02 01 01 a0 a0 a0 01 01 01 01 02 02 01 02 02 01 01 a8 a1 a1 a8 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 01 01 01 01 01 01 a1 f9 a1 01 01 01 01 01 01 01 02 02 01 01 01 0f 10 01 01
Y=52: 02 02 01 01 a0 a0 a0 01 01 01 01 01 02 01 02 02 01 01 a8 a1 a1 a8 02 02 02 a6 a6 a6 a6 a6 a6 a6 a6 a0 a0 02 02 01 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 01 01 01 02 01 02 01 01 01 01 02
Y=53: 01 a1 fa a1 a3 a1 a2 01 01 02 01 01 01 02 01 01 02 01 a8 a1 a1 a8 02 01 02 a6 ff a0 ff ff ff ff a6 a1 a1 d1 01 02 02 02 02 a6 a6 a6 a6 a6 a6 a6 a0 01 01 01 02 01 01 02 01 02 01 02 01 01 01 01
Y=54: 02 a1 fa a1 a3 a1 a2 01 01 01 02 02 01 01 01 02 01 01 a8 a1 a1 a8 02 01 02 a6 a0 a0 a0 a0 a8 a1 a6 f1 f1 a0 01 a8 a6 a6 a6 a6 ff a0 a0 a0 a0 a6 a6 a6 a6 01 02 01 01 02 02 01 01 01 01 01 01 02
Y=55: 01 01 01 01 a8 a8 a8 01 01 01 01 01 01 01 01 01 01 01 a8 a1 a1 a8 02 01 01 a6 a1 a1 a1 a1 a1 ff a6 01 01 01 a0 a0 a0 a0 a0 a0 a0 a0 a0 a0 a0 a0 a0 a0 a0 01 02 01 01 01 01 01 01 01 01 01 01 01
Y=56: 01 01 01 01 01 01 01 01 01 01 02 01 01 0d 0e 01 01 01 a8 a1 a1 a8 02 02 01 a6 a1 a1 a1 a1 a6 a6 a6 02 01 a0 a1 a1 a0 a1 a1 a1 a1 a0 a0 a0 a0 a1 a1 a1 a1 01 02 01 01 01 01 0d 0e 01 01 02 01 01
Y=57: 01 01 01 01 01 01 01 01 02 02 01 01 01 0f 10 01 01 01 a8 a1 a1 a8 02 01 02 a6 a1 a1 a1 a1 a1 a6 a6 01 01 a0 a0 a0 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 01 02 01 01 01 01 0f 10 01 02 02 02 01
Y=58: 01 01 01 01 01 01 01 01 02 02 02 01 01 01 01 01 01 01 a8 a1 a1 a8 02 01 01 a0 a1 a1 c1 a1 a1 a6 a6 01 01 d8 a2 a3 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 a1 01 02 01 01 01 02 01 01 01 02 01 01 01
Y=59: 02 02 01 01 01 01 01 02 01 01 02 01 01 01 02 01 0d 0e a8 a1 a1 a8 02 01 01 01 a8 a8 ff a8 a6 a6 a6 01 01 01 01 a0 a1 a1 c4 a1 a1 a1 a1 a1 a1 a1 c5 a1 a1 01 02 01 01 02 01 02 01 01 01 01 01 01
Y=60: 02 02 01 01 01 01 01 01 01 01 02 01 01 01 01 01 0f 10 a8 a1 a1 a8 02 01 01 01 01 a0 a0 a0 01 01 d6 01 01 02 01 01 f8 ff e1 a8 ff d2 a1 a1 a1 a8 ff a8 01 01 02 01 01 02 02 01 01 01 0d 0e 01 01
Y=61: 01 01 01 02 01 01 01 02 01 01 01 01 01 02 02 01 01 01 a8 a1 a1 a8 02 02 02 02 01 a0 a0 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 a8 01 01 02 01 02 01 01 01 01 01 0f 10 01 01
Y=62: 01 01 01 01 01 02 02 01 01 01 01 01 01 02 02 02 02 01 a8 a1 a1 a8 02 01 01 01 01 a0 a0 01 01 01 01 01 01 01 01 01 01 02 01 a8 01 01 01 01 01 01 01 01 02 02 02 01 01 01 01 02 02 01 01 01 02 02
Y=63: 02 01 01 01 01 01 01 02 02 01 02 01 01 01 01 02 01 01 a8 a1 a6 a6 a6 a6 a6 a6 a6 a0 a0 a6 a6 01 02 01 01 a5 a5 a5 01 01 01 a8 01 01 a0 a0 a0 a0 a0 01 01 02 02 01 01 01 02 02 02 02 01 01 02 02
