rank,difficultyScore,queue,tier,problemId,roomIdHex,roomName,area,objective,screens,enemyCount,staticPlanStatus,pathBlocks,onCompletionPath,onKpdrTracker,practiceStatus,teleportReady,runReady,entrySourceRoomIdHex,exitTargetRoomIdHex,difficultyReasons,stateFile,policyFile
25,0,1,easy,room_9994_from_98e2_to_98e2,0x9994,Crateria Map Room,Crateria,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0x98E2,0x98E2,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_9994_from_98e2.state,policies/room_clears/room_9994_from_98e2_to_98e2.json
26,0,1,easy,room_9a90_from_9a44_to_9a44,0x9A90,The Final Missile,Crateria,enter_objective_and_return,1,2,planned_static,7,0,0,ready,1,1,0x9A44,0x9A44,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_9a90_from_9a44.state,policies/room_clears/room_9a90_from_9a44_to_9a44.json
27,0,1,easy,room_ced2_from_cefb_to_cefb,0xCED2,Glass Tunnel Save Room,Maridia,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xCEFB,0xCEFB,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_ced2_from_cefb.state,policies/room_clears/room_ced2_from_cefb_to_cefb.json
28,0,1,easy,room_cf54_from_cefb_to_a408,0xCF54,West Tunnel,Maridia,traverse_to_exit,1,0,planned_static,12,1,1,ready,1,1,0xCEFB,0xA408,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_cf54_from_cefb.state,policies/room_clears/room_cf54_from_cefb_to_a408.json
29,0,1,easy,room_d252_from_d461_to_d21c,0xD252,West Sand Hall Tunnel,Maridia,traverse_to_exit,1,1,planned_static,12,0,0,ready,1,1,0xD461,0xD21C,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d252_from_d461.state,policies/room_clears/room_d252_from_d461_to_d21c.json
30,0,1,easy,room_d3b6_from_d21c_to_d21c,0xD3B6,Maridia Map Room,Maridia,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xD21C,0xD21C,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d3b6_from_d21c.state,policies/room_clears/room_d3b6_from_d21c_to_d21c.json
31,0,1,easy,room_d3df_from_d30b_to_d30b,0xD3DF,Forgotten Highway Save Room,Maridia,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xD30B,0xD30B,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d3df_from_d30b.state,policies/room_clears/room_d3df_from_d30b_to_d30b.json
32,0,1,easy,room_d433_from_d2d9_to_d86e,0xD433,Bug Sand Hole,Maridia,traverse_to_exit,1,3,planned_static,12,0,0,ready,1,1,0xD2D9,0xD86E,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d433_from_d2d9.state,policies/room_clears/room_d433_from_d2d9_to_d86e.json
33,0,1,easy,room_d765_from_d5a7_to_d5a7,0xD765,Aqueduct Save Room,Maridia,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xD5A7,0xD5A7,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d765_from_d5a7.state,policies/room_clears/room_d765_from_d5a7_to_d5a7.json
34,0,1,easy,room_d81a_from_d9d4_to_d72a,0xD81A,Draygon Save Room,Maridia,visit_station_and_return,1,0,planned_static,12,0,0,ready,1,1,0xD9D4,0xD72A,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d81a_from_d9d4.state,policies/room_clears/room_d81a_from_d9d4_to_d72a.json
35,0,1,easy,room_d845_from_d913_to_d913,0xD845,Maridia Missile Refill Room,Maridia,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xD913,0xD913,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d845_from_d913.state,policies/room_clears/room_d845_from_d913_to_d913.json
36,0,1,easy,room_d9aa_from_da60_to_da60,0xD9AA,Space Jump Room,Maridia,collect_and_return,1,0,planned_static,11,0,1,ready,1,1,0xDA60,0xDA60,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d9aa_from_da60.state,policies/room_clears/room_d9aa_from_da60_to_da60.json
37,0,1,easy,room_d9d4_from_d81a_to_d81a,0xD9D4,Maridia Health Refill Room,Maridia,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xD81A,0xD81A,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d9d4_from_d81a.state,policies/room_clears/room_d9d4_from_d81a_to_d81a.json
38,0,1,easy,room_d9fe_from_da2b_to_d5ec,0xD9FE,West Cacattack Alley,Maridia,traverse_to_exit,2,4,planned_static,28,0,0,ready,1,1,0xDA2B,0xD5EC,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d9fe_from_da2b.state,policies/room_clears/room_d9fe_from_da2b_to_d5ec.json
39,0,1,easy,room_a75d_from_a815_to_a8b9,0xA75D,Ice Beam Acid Room,Norfair,traverse_to_exit,2,3,planned_static,28,1,0,ready,1,1,0xA815,0xA8B9,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a75d_from_a815.state,policies/room_clears/room_a75d_from_a815_to_a8b9.json
40,0,1,easy,room_a9e5_from_aa41_to_aa41,0xA9E5,Hi-Jump Room,Norfair,collect_and_return,1,0,unresolved,,0,1,ready,1,1,0xAA41,0xAA41,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a9e5_from_aa41.state,policies/room_clears/room_a9e5_from_aa41_to_aa41.json
41,0,1,easy,room_aab5_from_aa82_to_aa82,0xAAB5,Post Crocomire Save Room,Norfair,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xAA82,0xAA82,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_aab5_from_aa82.state,policies/room_clears/room_aab5_from_aa82_to_aa82.json
42,0,1,easy,room_aade_from_aa82_to_aa82,0xAADE,Post Crocomire Power Bomb Room,Norfair,collect_and_return,1,0,planned_static,8,0,0,ready,1,1,0xAA82,0xAA82,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_aade_from_aa82.state,policies/room_clears/room_aade_from_aa82_to_aa82.json
43,0,1,easy,room_ac00_from_abd2_to_ac2b,0xAC00,Grapple Tutorial Room 1,Norfair,traverse_to_exit,2,0,planned_static,28,0,0,ready,1,1,0xABD2,0xAC2B,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_ac00_from_abd2.state,policies/room_clears/room_ac00_from_abd2_to_ac2b.json
44,0,1,easy,room_ad1b_from_acf0_to_acf0,0xAD1B,Speed Booster Room,Norfair,collect_and_return,1,0,planned_static,11,1,1,ready,1,1,0xACF0,0xACF0,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_ad1b_from_acf0.state,policies/room_clears/room_ad1b_from_acf0_to_acf0.json
45,0,1,easy,room_adde_from_adad_to_adad,0xADDE,Wave Beam Room,Norfair,collect_and_return,1,0,planned_static,11,0,1,ready,1,1,0xADAD,0xADAD,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_adde_from_adad.state,policies/room_clears/room_adde_from_adad_to_adad.json
46,0,1,easy,room_b026_from_affb_to_afce,0xB026,Nutella Refill,Norfair,visit_station_and_return,1,0,planned_static,12,0,0,ready,1,1,0xAFFB,0xAFCE,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b026_from_affb.state,policies/room_clears/room_b026_from_affb_to_afce.json
47,0,1,easy,room_b051_from_aedf_to_aedf,0xB051,Purple Farming Room,Norfair,enter_objective_and_return,1,5,planned_static,8,0,0,ready,1,1,0xAEDF,0xAEDF,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b051_from_aedf.state,policies/room_clears/room_b051_from_aedf_to_aedf.json
48,0,1,easy,room_b0b4_from_a7de_to_a7de,0xB0B4,Norfair Map Room,Norfair,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xA7DE,0xA7DE,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b0b4_from_a7de.state,policies/room_clears/room_b0b4_from_a7de_to_a7de.json
49,0,1,easy,room_b0dd_from_acb3_to_acb3,0xB0DD,Bubble Mountain Save Room,Norfair,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xACB3,0xACB3,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b0dd_from_acb3.state,policies/room_clears/room_b0dd_from_acb3_to_acb3.json
50,0,1,easy,room_b167_from_b106_to_a7de,0xB167,Frog Savestation,Norfair,traverse_to_exit,1,0,planned_static,12,1,1,ready,1,1,0xB106,0xA7DE,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b167_from_b106.state,policies/room_clears/room_b167_from_b106_to_a7de.json
51,0,1,easy,room_b192_from_a923_to_a923,0xB192,Crocomire Save Room,Norfair,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xA923,0xA923,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b192_from_a923.state,policies/room_clears/room_b192_from_a923_to_a923.json
52,0,1,easy,room_b1bb_from_af3f_to_af3f,0xB1BB,Lower Norfair Elevator Save Room,Norfair,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xAF3F,0xAF3F,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b1bb_from_af3f.state,policies/room_clears/room_b1bb_from_af3f_to_af3f.json
53,0,1,easy,room_b305_from_b6c1_to_b6c1,0xB305,Golden Torizo Energy Recharge,Norfair,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xB6C1,0xB6C1,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b305_from_b6c1.state,policies/room_clears/room_b305_from_b6c1_to_b6c1.json
54,0,1,easy,room_b698_from_b32e_to_b32e,0xB698,Ridley Tank Room,Norfair,collect_and_return,1,0,planned_static,5,0,0,ready,1,1,0xB32E,0xB32E,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b698_from_b32e.state,policies/room_clears/room_b698_from_b32e_to_b32e.json
55,0,1,easy,room_b741_from_b585_to_b585,0xB741,Red Kihunter Shaft Save Room,Norfair,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xB585,0xB585,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b741_from_b585.state,policies/room_clears/room_b741_from_b585_to_b585.json
56,0,1,easy,room_cccb_from_cc6f_to_cc6f,0xCCCB,Wrecked Ship Map Room,Wrecked Ship,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xCC6F,0xCC6F,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_cccb_from_cc6f.state,policies/room_clears/room_cccb_from_cc6f_to_cc6f.json
57,0,1,easy,room_cd5c_from_cb8b_to_caf6,0xCD5C,Sponge Bath,Wrecked Ship,traverse_to_exit,2,1,planned_static,28,0,0,ready,1,1,0xCB8B,0xCAF6,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_cd5c_from_cb8b.state,policies/room_clears/room_cd5c_from_cb8b_to_caf6.json
58,0,1,easy,room_ce8a_from_caf6_to_caf6,0xCE8A,Wrecked Ship Save Room,Wrecked Ship,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xCAF6,0xCAF6,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_ce8a_from_caf6.state,policies/room_clears/room_ce8a_from_caf6_to_caf6.json
59,0,2,standard,room_9c5e_from_9ad9_to_9c89,0x9C5E,Green Brinstar Fireflea Room,Brinstar,traverse_to_exit,6,5,planned_static,44,0,0,ready,1,1,0x9AD9,0x9C89,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_9c5e_from_9ad9.state,policies/room_clears/room_9c5e_from_9ad9_to_9c89.json
60,0,2,standard,room_9fba_from_a253_to_9e52,0x9FBA,Noob Bridge,Brinstar,traverse_to_exit,6,8,planned_static,82,1,1,ready,1,1,0xA253,0x9E52,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_9fba_from_a253.state,policies/room_clears/room_9fba_from_a253_to_9e52.json
61,0,2,standard,room_a2f7_from_a322_to_a253,0xA2F7,Hellway,Brinstar,traverse_to_exit,3,8,planned_static,44,0,0,ready,1,1,0xA322,0xA253,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_a2f7_from_a322.state,policies/room_clears/room_a2f7_from_a322_to_a253.json
62,0,2,standard,room_9461_from_968f_to_93fe,0x9461,Bowling Alley Path,Crateria,traverse_to_exit,2,6,planned_static,28,0,0,ready,1,1,0x968F,0x93FE,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_9461_from_968f.state,policies/room_clears/room_9461_from_968f_to_93fe.json
63,0,2,standard,room_a5ed_from_a66a_to_99bd,0xA5ED,Statues Hallway,Crateria,traverse_to_exit,5,0,planned_static,76,1,0,ready,1,1,0xA66A,0x99BD,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_a5ed_from_a66a.state,policies/room_clears/room_a5ed_from_a66a_to_99bd.json
64,0,2,standard,room_d27e_from_d2aa_to_d387,0xD27E,Plasma Tutorial Room,Maridia,traverse_to_exit,1,6,planned_static,12,0,0,ready,1,1,0xD2AA,0xD387,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_d27e_from_d2aa.state,policies/room_clears/room_d27e_from_d2aa_to_d387.json
65,0,2,standard,room_d898_from_d7e4_to_d6fd,0xD898,Botwoon Quicksand Room,Maridia,traverse_to_exit,2,9,planned_static,6,0,0,ready,1,1,0xD7E4,0xD6FD,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_d898_from_d7e4.state,policies/room_clears/room_d898_from_d7e4_to_d6fd.json
66,0,2,standard,room_ab3b_from_ab07_to_ab07,0xAB3B,Cosine Room,Norfair,collect_and_return,4,7,planned_static,61,0,0,ready,1,1,0xAB07,0xAB07,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_ab3b_from_ab07.state,policies/room_clears/room_ab3b_from_ab07_to_ab07.json
67,0,2,standard,room_afce_from_b026_to_a923,0xAFCE,Acid Snakes Tunnel,Norfair,traverse_to_exit,4,9,planned_static,60,0,0,ready,1,1,0xB026,0xA923,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_afce_from_b026.state,policies/room_clears/room_afce_from_b026_to_a923.json
68,0,2,standard,room_affb_from_ae74_to_b026,0xAFFB,Spiky Acid Snakes Room,Norfair,traverse_to_exit,4,3,planned_static,46,0,0,ready,1,1,0xAE74,0xB026,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_affb_from_ae74.state,policies/room_clears/room_affb_from_ae74_to_b026.json
69,0,2,standard,room_b139_from_af72_to_afce,0xB139,Red Pirate Shaft,Norfair,traverse_to_exit,3,7,planned_static,31,0,0,ready,1,1,0xAF72,0xAFCE,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_b139_from_af72.state,policies/room_clears/room_b139_from_af72_to_afce.json
70,0,2,standard,room_ca08_from_caf6_to_93fe,0xCA08,Wrecked Ship Entrance,Wrecked Ship,traverse_to_exit,4,0,planned_static,46,1,1,ready,1,1,0xCAF6,0x93FE,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_ca08_from_caf6.state,policies/room_clears/room_ca08_from_caf6_to_93fe.json
71,0,2,standard,room_caae_from_ca52_to_ca52,0xCAAE,Wrecked Ship East Missile Room,Wrecked Ship,collect_and_return,3,11,planned_static,45,0,0,ready,1,1,0xCA52,0xCA52,ordinary traversal,custom_integrations/SuperMetroid-Snes/room_caae_from_ca52.state,policies/room_clears/room_caae_from_ca52_to_ca52.json
72,0,3,tough,room_acb3_from_b07a_to_aedf,0xACB3,Bubble Mountain,Norfair,collect_items_and_exit,8,8,unresolved,,1,1,ready,1,1,0xB07A,0xAEDF,large/vertical geometry;static collision path unresolved,custom_integrations/SuperMetroid-Snes/room_acb3_from_b07a.state,policies/room_clears/room_acb3_from_b07a_to_aedf.json
73,0,3,tough,room_acf0_from_ad1b_to_b07a,0xACF0,Speed Booster Hall,Norfair,collect_items_and_exit,24,8,unresolved,,1,1,ready,1,1,0xAD1B,0xB07A,large/vertical geometry;static collision path unresolved,custom_integrations/SuperMetroid-Snes/room_acf0_from_ad1b.state,policies/room_clears/room_acf0_from_ad1b_to_b07a.json
74,0,3,tough,room_ad5e_from_b656_to_ae07,0xAD5E,Single Chamber,Norfair,traverse_to_exit,24,7,planned_static,110,1,1,ready,1,1,0xB656,0xAE07,large/vertical geometry,custom_integrations/SuperMetroid-Snes/room_ad5e_from_b656.state,policies/room_clears/room_ad5e_from_b656_to_ae07.json
75,0,3,tough,room_b106_from_af72_to_b167,0xB106,Frog Speedway,Norfair,traverse_to_exit,8,6,unresolved,,1,1,ready,1,1,0xAF72,0xB167,static collision path unresolved,custom_integrations/SuperMetroid-Snes/room_b106_from_af72.state,policies/room_clears/room_b106_from_af72_to_b167.json
76,50,1,easy,room_9c07_from_9bc8_to_9bc8,0x9C07,Brinstar Reserve Tank Room,Brinstar,collect_and_return,2,0,planned_static,32,0,0,state_ready,1,0,0x9BC8,0x9BC8,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_9c07_from_9bc8.state,policies/room_clears/room_9c07_from_9bc8_to_9bc8.json
77,50,1,easy,room_a1ad_from_9f64_to_a1d8,0xA1AD,Blue Brinstar Boulder Room,Brinstar,traverse_to_exit,2,3,planned_static,32,0,0,state_ready,1,0,0x9F64,0xA1D8,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a1ad_from_9f64.state,policies/room_clears/room_a1ad_from_9f64_to_a1d8.json
78,50,1,easy,room_a2ce_from_a293_to_a293,0xA2CE,X-Ray Room,Brinstar,collect_and_return,2,2,unresolved,,0,0,state_ready,1,0,0xA293,0xA293,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a2ce_from_a293.state,policies/room_clears/room_a2ce_from_a293_to_a293.json
79,50,1,easy,room_a3ae_from_a322_to_a322,0xA3AE,Alpha Power Bomb Room,Brinstar,collect_and_return,3,4,unresolved,,0,1,state_ready,1,0,0xA322,0xA322,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a3ae_from_a322.state,policies/room_clears/room_a3ae_from_a322_to_a322.json
80,50,1,easy,room_a447_from_a408_to_a408,0xA447,Spazer Room,Brinstar,collect_and_return,1,0,planned_static,12,0,1,state_ready,1,0,0xA408,0xA408,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a447_from_a408.state,policies/room_clears/room_a447_from_a408_to_a408.json
81,50,1,easy,room_d21c_from_d3b6_to_d08a,0xD21C,Crab Hole,Maridia,traverse_to_exit,2,4,planned_static,29,0,0,state_ready,1,0,0xD3B6,0xD08A,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_d21c_from_d3b6.state,policies/room_clears/room_d21c_from_d3b6_to_d08a.json
82,50,1,easy,room_a865_from_a815_to_a8b9,0xA865,Ice Beam Tutorial Room,Norfair,traverse_to_exit,2,4,planned_static,28,1,1,state_ready,1,0,0xA815,0xA8B9,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a865_from_a815.state,policies/room_clears/room_a865_from_a815_to_a8b9.json
83,50,1,easy,room_a890_from_a8b9_to_a8b9,0xA890,Ice Beam Room,Norfair,collect_and_return,1,0,planned_static,11,1,1,state_ready,1,0,0xA8B9,0xA8B9,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a890_from_a8b9.state,policies/room_clears/room_a890_from_a8b9_to_a8b9.json
84,50,1,easy,room_abd2_from_ab64_to_ac00,0xABD2,Grapple Tutorial Room 2,Norfair,traverse_to_exit,3,3,planned_static,29,0,0,state_ready,1,0,0xAB64,0xAC00,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_abd2_from_ab64.state,policies/room_clears/room_abd2_from_ab64_to_ac00.json
85,50,1,easy,room_b62b_from_b482_to_b5d5,0xB62B,Metal Pirates Room,Norfair,traverse_to_exit,3,2,planned_static,30,1,0,state_ready,1,0,0xB482,0xB5D5,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_b62b_from_b482.state,policies/room_clears/room_b62b_from_b482_to_b5d5.json
